id,name,code,regional_unit_id:id,country_id:id
gr_muni_434206,Sikyonion,434206,gr_regunit_4342,base.gr
gr_muni_434301,Spartas,434301,gr_regunit_4343,base.gr
gr_muni_434302,Anatolikis Manis,434302,gr_regunit_4343,base.gr
gr_muni_434303,Elafonisoy,434303,gr_regunit_4343,base.gr
gr_muni_434304,Eyrota,434304,gr_regunit_4343,base.gr
gr_muni_434305,Monemvasias,434305,gr_regunit_4343,base.gr
gr_muni_434401,Kalamatas,434401,gr_regunit_4344,base.gr
gr_muni_434402,Dytikis Manis,434402,gr_regunit_4344,base.gr
gr_muni_434403,Messinis,434403,gr_regunit_4344,base.gr
gr_muni_434404,Oichalias,434404,gr_regunit_4344,base.gr
gr_muni_434405,Pyloy - Nestoros,434405,gr_regunit_4344,base.gr
gr_muni_434406,Trifylias,434406,gr_regunit_4344,base.gr
gr_muni_514501,Athinaion,514501,gr_regunit_5145,base.gr
gr_muni_514502,Vyronos,514502,gr_regunit_5145,base.gr
gr_muni_514503,Galatsioy,514503,gr_regunit_5145,base.gr
gr_muni_514504,Dafnis - Ymittoy,514504,gr_regunit_5145,base.gr
gr_muni_514505,Zografoy,514505,gr_regunit_5145,base.gr
gr_muni_514506,Ilioypoleos,514506,gr_regunit_5145,base.gr
gr_muni_514507,Kaisarianis,514507,gr_regunit_5145,base.gr
gr_muni_514508,Neas Filadelfeias - Neas Chalkidonos,514508,gr_regunit_5145,base.gr
gr_muni_514601,Amaroysioy,514601,gr_regunit_5146,base.gr
gr_muni_514602,Agias Paraskeyis,514602,gr_regunit_5146,base.gr
gr_muni_514603,Vrilission,514603,gr_regunit_5146,base.gr
gr_muni_514604,Herakliony,514604,gr_regunit_5146,base.gr
gr_muni_514605,Kifisias,514605,gr_regunit_5146,base.gr
gr_muni_514606,Lykovrysis - Peykis,514606,gr_regunit_5146,base.gr
gr_muni_514607,Metamorfoseos,514607,gr_regunit_5146,base.gr
gr_muni_514608,Neas Ionias,514608,gr_regunit_5146,base.gr
gr_muni_514609,Papagoy - Cholargoy,514609,gr_regunit_5146,base.gr
gr_muni_514610,Pentelis,514610,gr_regunit_5146,base.gr
gr_muni_514611,Filotheis - Psychikoy,514611,gr_regunit_5146,base.gr
gr_muni_514612,Chalandrioy,514612,gr_regunit_5146,base.gr
gr_muni_514701,Peristerioy,514701,gr_regunit_5147,base.gr
gr_muni_514702,Agias Varvaras,514702,gr_regunit_5147,base.gr
gr_muni_514703,Agion Anargyron - Kamateroy,514703,gr_regunit_5147,base.gr
gr_muni_514704,Aigaleo,514704,gr_regunit_5147,base.gr
gr_muni_514705,Ilioy,514705,gr_regunit_5147,base.gr
gr_muni_514706,Petroypoleos,514706,gr_regunit_5147,base.gr
gr_muni_514707,Chaϊdarioy,514707,gr_regunit_5147,base.gr
gr_muni_514801,Kallitheas,514801,gr_regunit_5148,base.gr
gr_muni_514802,Agioy Dimitrioy,514802,gr_regunit_5148,base.gr
gr_muni_514803,Alimoy,514803,gr_regunit_5148,base.gr
gr_muni_514804,Glyfadas,514804,gr_regunit_5148,base.gr
gr_muni_514805,Ellinikoy - Argyroypolis,514805,gr_regunit_5148,base.gr
gr_muni_514806,Moschatoy - Tayroy,514806,gr_regunit_5148,base.gr
gr_muni_514807,Neas Smyrnis,514807,gr_regunit_5148,base.gr
gr_muni_514808,Palaioy Faliroy,514808,gr_regunit_5148,base.gr
gr_muni_514901,Acharnon,514901,gr_regunit_5149,base.gr
gr_muni_514902,Varis - Voylas - Voyliagmenis,514902,gr_regunit_5149,base.gr
gr_muni_514903,Dionysoy,514903,gr_regunit_5149,base.gr
gr_muni_514904,Kropias,514904,gr_regunit_5149,base.gr
gr_muni_514905,Layreotikis,514905,gr_regunit_5149,base.gr
gr_muni_514906,Marathonos,514906,gr_regunit_5149,base.gr
gr_muni_514907,Markopoyloy Mesogaias,514907,gr_regunit_5149,base.gr
gr_muni_514908,Paianias,514908,gr_regunit_5149,base.gr
gr_muni_514909,Pallinis,514909,gr_regunit_5149,base.gr
gr_muni_514910,Rafinas - Pikermioy,514910,gr_regunit_5149,base.gr
gr_muni_514911,Saronikoy,514911,gr_regunit_5149,base.gr
gr_muni_514912,Spaton - Artemidos,514912,gr_regunit_5149,base.gr
gr_muni_514913,Oropoy,514913,gr_regunit_5149,base.gr
gr_muni_515001,Eleysinas,515001,gr_regunit_5150,base.gr
gr_muni_515002,Aspropyrgoy,515002,gr_regunit_5150,base.gr
gr_muni_515003,Mandras - Eidyllias,515003,gr_regunit_5150,base.gr
gr_muni_515004,Megareon,515004,gr_regunit_5150,base.gr
gr_muni_515005,Fylis,515005,gr_regunit_5150,base.gr
